logPowerJan11,logPowerFeb11,logPowerMar11,logPowerApr11,logPowerMay11,logPowerJun11,logPowerJul11,logPowerAug11,logPowerSep11,logPowerOct11,logPowerNov11,logPowerDec11,TempJan11,TempFeb11,TempMar11,TempApr11,TempMay11,TempJun11,TempJul11,TempAug11,TempSep11,TempOct11,TempNov11,TempDec11,Longitude,Latitude,logSqMeters,logAvgIncome,AvgYearBuilt,ResidentialCustomers,CommercialCustomers,PercentMXR,PercentMFR,PercentCOM,PercentIND,PercentNA,PercentOTH,PercentSFR
2.9469,2.8938,2.9542,2.9435,2.9661,3.006,3.0469,3.0398,3.0298,3.0473,3.0224,3.0453,59.18,55.76,59,62.6,63.5,65.66,70.16,69.8,69.08,66.56,61.7,56.12,-118.3025,33.8182,5.7697,4.5544,1971,72,27,8,56,5,14,5,0,13
2.8,2.7259,2.7574,2.7686,2.7672,2.7767,2.8401,2.8675,2.8543,2.8195,2.8338,2.8621,58.1,54.86,59.54,63.14,64.04,66.38,72.5,72.14,70.88,67.1,59.54,54.14,-118.2519,33.7955,5.9107,4.6994,1959,79,20,26,32,3,8,16,5,11
2.1239,2.0864,2.1303,2.1139,2.1173,2.1367,2.5575,2.5611,2.5514,2.5922,2.616,2.6201,59.18,55.76,59,62.6,63.5,65.66,70.16,69.8,69.08,66.56,61.7,56.12,-118.3019,33.822,5.3977,4.6406,1966,89,11,11,63,4,1,8,0,12
1.6128,1.5315,1.5441,1.5051,1.5051,1.4914,2.5623,2.5635,2.549,2.5587,2.618,2.6335,59.18,55.76,59,62.6,63.5,65.66,70.16,69.8,69.08,66.56,61.7,56.12,-118.302,33.8239,5.3306,4.6293,1957,94,6,19,32,3,0,0,0,46
1.9294,1.9956,1.9638,2,2.0253,2.0086,2.6542,2.6646,2.6599,2.6848,2.6656,2.6758,58.1,54.86,59.54,63.14,64.04,66.38,72.5,72.14,70.88,67.1,59.54,54.14,-118.2611,33.8028,5.5105,4.6985,1954,95,5,10,27,0,0,3,0,61
2.2742,2.2405,2.2625,2.2625,2.2856,2.2695,2.6675,2.6785,2.6712,2.6684,2.6839,2.6893,59.18,55.76,59,62.6,63.5,65.66,70.16,69.8,69.08,66.56,61.7,56.12,-118.3012,33.8342,5.508,4.8626,1957,93,7,24,27,0,0,2,0,47
2.3365,2.2878,2.3324,2.3201,2.3444,2.3139,2.7076,2.7459,2.7152,2.7135,2.7427,2.7536,59.18,55.76,59,62.6,63.5,65.66,70.16,69.8,69.08,66.56,61.7,56.12,-118.3065,33.8348,5.5365,4.8007,1961,86,14,17,39,7,0,0,0,37
1.5185,1.4624,1.4771,1.4472,1.4771,1.4914,2.5599,2.5635,2.5623,2.5705,2.6253,2.6405,59.18,55.76,59,62.6,63.5,65.66,70.16,69.8,69.08,66.56,61.7,56.12,-118.3039,33.8275,5.6069,4.8223,1955,96,5,31,25,0,0,0,0,44
1.0414,1.0414,1.0414,1.0414,1.0414,1.0792,2.6551,2.6542,2.6355,2.6513,2.7135,2.7267,59.18,55.76,59,62.6,63.5,65.66,70.16,69.8,69.08,66.56,61.7,56.12,-118.3035,33.837,5.3942,4.9224,1953,97,3,7,2,2,0,0,0,88
0.9031,0.8451,0.9031,1.0792,0.8451,1.0414,2.7024,2.7016,2.6609,2.6848,2.7396,2.7551,59.18,55.76,59,62.6,63.5,65.66,70.16,69.8,69.08,66.56,61.7,56.12,-118.302,33.8398,5.3431,4.9052,1956,98,2,14,24,0,0,0,0,62
1.699,1.6721,1.6532,1.6628,1.6812,1.699,3.0394,3.0885,3.0737,2.9703,2.9547,3.0035,58.46,51.08,57.38,60.62,60.98,64.94,72.5,74.66,72.86,67.64,54.68,53.06,-118.365,34.2542,6.4579,5.0586,1965,96,4,8,1,0,0,3,1,88
