Month,Day,Cases,Deaths
5,30,1,0
6,10,13,11
6,16,33,24
6,20,51,34
6,30,107,65
7,2,115,75
7,6,131,84
7,8,142,88
7,12,172,105
7,17,196,116
7,20,224,127
7,23,249,129
7,27,329,156
7,30,391,227
8,1,468,255
8,6,554,294
8,9,599,323
8,11,670,355
8,13,786,413
8,16,834,466
8,18,972,576
8,20,1082,624
8,25,1378,694
8,31,1871,1089
9,7,2081,1137
9,9,2407,1296
9,14,2710,1459
9,17,3022,1578
9,21,3280,1677
9,23,3548,1830
9,28,3696,1998
9,30,3834,2069
10,5,3924,2210
10,7,4076,2316
10,11,4249,2458
10,13,4262,2484
10,22,4665,2705
