id,year,origin,automatic-transmission,cylinders,displacement,drive,cityMPG,highwayMPG,class-size,guzzler,smog-score
19337,2004,2,0,6,2.5,2,22.4,35.7,0,0,1
19340,2004,2,0,6,3.0,2,22.9,37.5,0,0,1
19340,2004,2,0,6,3.0,2,22.9,37.5,0,0,2
19344,2004,1,1,8,5.7,2,19.7,32.5,0,0,1
19345,2004,1,0,8,5.7,2,21.3,35.9,0,0,1
19346,2004,1,1,6,3.2,2,23.4,35.4,0,0,2
19347,2004,1,0,6,3.2,2,18.8,32.4,0,0,2
19355,2004,1,1,8,3.9,2,19.2,31.3,0,0,1
19356,2004,3,1,3,1.0,1,62.8,71.4,0,0,1
19356,2004,3,1,3,1.0,1,62.8,71.4,0,0,5
19356,2004,3,1,3,1.0,1,62.8,71.4,0,0,8
19357,2004,3,0,3,1.0,1,67.1,84.1,0,0,1
19357,2004,3,0,3,1.0,1,67.1,84.1,0,0,2
19358,2004,3,0,4,2.2,2,21.7,32.5,0,0,1
19367,2004,3,0,4,1.8,2,25.8,36.4,0,0,1
19368,2004,3,0,4,1.8,2,25.7,35.6,0,0,1
19369,2004,3,0,4,1.8,2,22.7,33.0,0,0,1
19370,2004,2,1,8,5.0,2,17.4,29.1,0,1,2
19370,2004,2,1,8,5.0,2,17.4,29.1,0,1,5
19378,2004,3,0,6,3.5,2,22.0,33.6,0,0,1
19379,2004,3,1,6,3.5,2,20.7,32.9,0,0,1
19380,2004,3,0,6,3.5,2,21.7691,33.3444,0,0,1
19381,2004,3,1,6,3.5,2,19.9691,31.6691,0,0,1
19382,2004,2,0,6,2.7,2,22.3,37.3494,0,0,5
19383,2004,2,1,6,2.7,2,19.6707,33.3481,0,0,5
19391,2004,2,1,12,5.9,2,13.5498,24.4963,0,1,3
19394,2004,2,1,6,3.2,4,24.7,34.1,0,0,1
19397,2004,2,1,6,2.5,2,22.0452,36.3753,0,0,1
19397,2004,2,1,6,2.5,2,22.0452,36.3753,0,0,2
19398,2004,2,0,6,3.0,2,21.6,36.5,0,0,5
19398,2004,2,0,6,3.0,2,21.6,36.5,0,0,6
19399,2004,2,1,6,3.0,2,20.4,32.5,0,0,5
19399,2004,2,1,6,3.0,2,20.4,32.5,0,0,6
19401,2004,2,0,6,3.2,2,17.5,29.5431,0,1,1
19402,2004,2,1,6,3.2,2,17.7191,28.1243,0,1,1
19405,2004,3,1,8,4.3,2,19.4718,29.9479,0,0,1
19405,2004,3,1,8,4.3,2,19.4718,29.9479,0,0,2
19406,2004,2,1,4,1.6,1,27.5935,41.039,0,0,1
19407,2004,2,0,4,1.6,1,31.6,47.1,0,0,1
19408,2004,2,0,4,1.6,1,27.3913,43.773,0,0,1
19411,2004,3,0,6,3.0,1,23.0,36.4,0,0,1
19441,2004,2,0,4,1.8,1,26.6419,39.8887,0,0,1
19444,2004,2,1,4,2.0,1,23.8,39.4,0,0,5
19444,2004,2,1,4,2.0,1,23.8,39.4,0,0,6
19445,2004,3,0,4,2.0,1,30.2,42.8,0,0,2
19445,2004,3,0,4,2.0,1,30.2,42.8,0,0,5
19446,2004,3,0,4,2.0,1,27.0,39.9,0,0,2
19446,2004,3,0,4,2.0,1,27.0,39.9,0,0,5
19447,2004,3,1,4,2.0,1,28.2,43.2,0,0,2
19447,2004,3,1,4,2.0,1,28.2,43.2,0,0,5
19454,2004,2,1,6,2.5,2,21.5624,34.9976,0,0,5
19454,2004,2,1,6,2.5,2,21.5624,34.9976,0,0,6
19454,2004,2,1,6,2.5,2,21.5624,34.9976,0,0,9
19456,2004,2,0,6,3.0,2,22.15,37.934,0,0,5
19456,2004,2,0,6,3.0,2,22.15,37.934,0,0,6
19457,2004,2,1,6,3.0,2,21.4578,34.858,0,0,5
19457,2004,2,1,6,3.0,2,21.4578,34.858,0,0,6
19466,2004,2,1,6,3.2,2,18.3217,29.4788,0,1,1
19467,2004,1,1,6,3.8,2,21.604,34.5178,0,0,1
19467,2004,1,1,6,3.8,2,21.604,34.5178,0,0,2
