Month,Day,Cases,Deaths
5,27,14,5
5,30,50,6
6,3,81,7
6,8,89,7
6,10,117,19
6,16,97,49
6,20,158,69
6,30,239,99
7,2,252,101
7,6,305,127
7,8,337,142
7,12,386,192
7,17,442,206
7,20,454,219
7,23,525,224
7,27,533,233
7,30,574,252
8,1,646,273
8,6,717,298
8,9,730,315
8,11,783,334
8,13,810,348
8,16,848,365
8,18,907,374
8,20,910,392
8,25,1026,422
8,31,1261,491
9,7,1424,524
9,13,1620,562
9,14,1673,562
9,19,1813,593
9,21,1940,597
9,23,2021,605
9,28,2304,622
10,1,2437,623
10,5,2789,879
10,8,2950,930
10,12,3252,1182
10,14,3410,1200
10,22,3706,1259
10,24,3896,1281
